類別	代碼	名稱	法人進出	"人壽金控
進出"	"400張以上
增減"	"千張以上
增減"	"內部大戶
增減"	"400張以上
增減占比"	"千張以上
增減占比"	"內部大戶
增減占比"	"內部大戶
買賣超"	外資	投信	"內部大戶
半年內持股"	股價	股價漲幅
櫃電零	6279	胡連	1460.0	0.0	1622.0	1186	591	1.67%	1.22%	0.61%	賣轉買	賣轉買	連二週買超		89.5	-0.56%
櫃航運	2641	正德	-16.0	0.0	278.0	891	904	0.18%	0.59%	0.60%	賣轉買	買轉賣			6.37	-3.04%
櫃文創	3293	鈊象	-168.0	0.0	354.0	246	420	0.50%	0.35%	0.60%	連二週買超	賣轉買	買轉賣		601.0	0.00%
造紙	1909	榮成	2339.0	0.0	7514.0	9254	7233	0.62%	0.76%	0.59%	連三週買超	賣轉買	連三週買超	創新高	13.45	-1.47%
電子零組件	6282	康舒	-1240.0	0.0	1409.0	2066	3045	0.27%	0.40%	0.59%	賣轉買	買轉賣		創新高	20.3	-3.10%
櫃光電	8069	元太	-6693.0	111.0	-4710.0	1140	6660	-0.41%	0.10%	0.58%	賣轉買	連二週賣超	買轉賣		37.95	-6.99%
櫃他電	6667	信紘科	-274.0	0.0	9.0	-7	204	0.03%	-0.02%	0.58%	賣轉買	買轉賣			67.2	-6.67%
櫃電商	5287	數字	-18.0	0.0	236.0	-281	247	0.55%	-0.66%	0.58%	賣轉買	買轉賣			230.5	-2.12%
電腦週邊	6235	華孚	194.0	0.0	611.0	1113	965	0.36%	0.66%	0.57%	連三週買超	賣轉買		創新高	13.05	-4.04%
櫃觀光	2732	六角	-413.0	0.0	-39.0	32	232	-0.10%	0.08%	0.57%	賣轉買	買轉賣	連三週買超	創新高	160.0	-5.04%
電子零組件	6269	台郡	453.0	1485.0	3737.0	677	1928	1.10%	0.20%	0.57%	連三週買超	連二週買超	連三週買超	創新高	114.5	-2.97%
櫃其他	5398	慕康生醫	235.0	0.0	-253.0	449	276	-0.51%	0.90%	0.55%					26.65	4.51%
電機	2049	上銀	-1588.0	0.0	730.0	1950	1692	0.24%	0.63%	0.55%	賣轉買	連二週賣超	買轉賣		291.0	-6.28%
電子零組件	2392	正崴	-621.0	300.0	413.0	2612	2795	0.08%	0.51%	0.55%	賣轉買	買轉賣			36.9	-4.77%
其他	9935	慶豐富	22.0	0.0	417.0	932	916	0.25%	0.55%	0.54%	連二週買超	賣轉買			32.35	0.00%
光電	2426	鼎元	554.0	0.0	771.0	2044	1616	0.26%	0.68%	0.54%	賣轉買	連二週買超			13.1	-5.42%
電腦週邊	8163	達方	-2455.0	0.0	-223.0	-363	1490	-0.08%	-0.13%	0.53%	連二週買超	連三週賣超			37.5	-3.35%
電腦週邊	3060	銘異	641.0	0.0	-403.0	1210	726	-0.29%	0.88%	0.53%	賣轉買	連二週買超		創新高	12.8	-6.91%
櫃電商	8044	網家	-38.0	0.0	592.0	105	618	0.51%	0.09%	0.53%	賣轉買	買轉賣	連二週買超		109.5	-8.75%
半導體	6202	盛群	-1489.0	0.0	83.0	1605	1174	0.04%	0.71%	0.52%	連二週買超	連三週賣超		創新高	65.7	-2.81%
電子零組件	8213	志超	1666.0	0.0	2967.0	2631	1370	1.09%	0.97%	0.51%	連二週買超	賣轉買	賣轉買	創新高	34.3	-10.21%
電機	1513	中興電	-440.0	0.0	2102.0	1763	2105	0.50%	0.42%	0.50%	連三週買超	連二週賣超		創新高	27.4	-6.16%
電腦週邊	3515	華擎	555.0	0.0	979.0	24	604	0.81%	0.02%	0.50%	賣轉買	連三週買超	連二週買超		144.5	-2.03%
櫃光電	6125	廣運	-35.0	0.0	-1079.0	1170	1196	-0.43%	0.47%	0.48%	賣轉買	買轉賣			16.7	-4.84%
半導體	8261	富鼎	-1128.0	0.0	-828.0	-447	389	-1.02%	-0.55%	0.48%	賣轉買	連三週賣超			27.1	2.46%
紡織	1417	嘉裕	-290.0	0.0	-752.0	683	905	-0.40%	0.36%	0.48%	連三週買超	買轉賣			8.38	-2.56%
通信網路	2444	兆勁	-277.0	0.0	45.0	285	493	0.04%	0.27%	0.47%	連二週買超	買轉賣			15.0	-5.36%
其他	9911	櫻花	-47.0	0.0	149.0	995	1030	0.07%	0.45%	0.47%	賣轉買	買轉賣			47.55	-0.31%
櫃生技	3218	大學光	-1199.0	0.0	-440.0	-2656	352	-0.58%	-3.49%	0.46%	賣轉買	買轉賣	連三週買超		161.5	3.53%
電機	1517	利奇	144.0	0.0	99.0	1161	1051	0.04%	0.51%	0.46%	連三週買超	賣轉買		創新高	8.95	0.45%
櫃電腦	6276	安鈦克	-189.0	0.0	81.0	0	140	0.27%	0.00%	0.46%	賣轉買	買轉賣			20.4	-1.92%
櫃生技	4726	永昕	-804.0	0.0	-1478.0	-12	583	-1.16%	-0.01%	0.46%	連二週買超	連二週賣超			35.1	12.50%
通信網路	6142	友勁	647.0	0.0	1877.0	1716	1217	0.70%	0.64%	0.45%	賣轉買	買轉賣		創新高	8.0	-1.36%
櫃鋼鐵	2065	世豐	-171.0	0.0	200.0	-197	149	0.60%	-0.59%	0.45%	賣轉買	連二週賣超			53.7	-7.73%
通信網路	2455	全新	-1469.0	-38.0	-288.0	-499	801	-0.16%	-0.27%	0.43%	連三週買超	連三週賣超	買轉賣		88.3	-2.11%
電子通路	8070	長華	-23.0	0.0	261.0	1220	276	0.41%	1.91%	0.43%	賣轉買	買轉賣			163.5	-0.30%
電子通路	3702	大聯大	-2028.0	10.0	2003.0	5372	7176	0.12%	0.32%	0.43%	賣轉買	買轉賣	連三週賣超	創新高	39.3	-2.48%
其他	9944	新麗	-477.0	0.0	1467.0	109	465	1.34%	0.10%	0.43%	賣轉買	買轉賣			22.9	1.55%
櫃通路	3444	利機	-226.0	0.0	-411.0	0	165	-1.05%	0.00%	0.42%	連二週買超	連二週賣超			38.9	-6.94%
櫃電零	6274	台燿	1329.0	0.0	2030.0	3103	1110	0.77%	1.17%	0.42%	賣轉買	連三週買超	連二週賣超		141.0	0.00%
電子零組件	6672	騰輝電子-KY	-1304.0	0.0	-624.0	-1321	295	-0.88%	-1.87%	0.42%	賣轉買	買轉賣			86.9	-5.54%
半導體	4919	新唐	-482.0	200.0	1013.0	1035	1199	0.35%	0.36%	0.42%	連三週買超	買轉賣			38.0	-5.24%
