類別	代碼	名稱	法人進出	"人壽金控
進出"	"400張以上
增減"	"千張以上
增減"	"內部大戶
增減"	"400張以上
增減占比"	"千張以上
增減占比"	"內部大戶
增減占比"	"內部大戶
買賣超"	外資	投信	"內部大戶
半年內持股"	股價	股價漲幅
櫃電機	2235	謚源	-2.0	0.0	-1.0	0	0	-0.00%	0.00%	0.00%	賣轉買	連二週賣超			47.95	-4.10%
櫃半導	3073	凱柏實業	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%				創新高	9.12	-17.09%
櫃電機	2070	精湛	0.0	0.0	43.0	0	0	0.12%	0.00%	0.00%					30.6	-4.37%
櫃電機	2067	嘉鋼	-1.0	0.0	11.0	0	0	0.02%	0.00%	0.00%	賣轉買	買轉賣			8.96	0.11%
櫃紡織	4429	聚紡	0.0	0.0	-1.0	0	0	-0.00%	0.00%	0.00%					34.2	-7.57%
櫃紡織	4413	飛寶企業	1.0	0.0	0.0	0	0	0.00%	0.00%	0.00%					13.1	0.77%
電子零組件	3338	泰碩	0.0	0.0	683.0	-166	0	0.78%	-0.19%	0.00%					88.0	-6.98%
櫃塑膠	4305	世坤	1.0	0.0	0.0	0	0	0.00%	0.00%	0.00%					34.3	-0.58%
櫃塑膠	4304	勝昱	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%				創新高	4.68	-1.68%
櫃電器	2061	風青	-1.0	0.0	0.0	0	0	0.00%	0.00%	0.00%		買轉賣			8.49	6.13%
電子零組件	1471	首利	0.0	0.0	3.0	0	0	0.00%	0.00%	0.00%					2.22	4.72%
櫃化工	4767	誠泰科技	0.0	0.0	-3.0	0	0	-0.01%	0.00%	0.00%				創新高	23.05	0.00%
通信網路	6442	光聖	0.0	0.0	1.0	0	0	0.00%	0.00%	0.00%					35.75	-1.79%
櫃光電	8087	華鎂鑫	0.0	0.0	-1036.0	-709	0	-3.56%	-2.44%	0.00%				創新低	6.21	0.16%
櫃鋼鐵	2064	晉椿	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%					11.2	0.00%
櫃鋼鐵	2063	世鎧	-1.0	0.0	9.0	0	0	0.02%	0.00%	0.00%	連二週買超	連二週賣超			33.55	-0.45%
櫃生技	6497	亞獅康-KY	0.0	0.0	6.0	0	0	0.00%	0.00%	0.00%					5.65	-11.02%
櫃生技	6242	立康	-1.0	0.0	0.0	0	0	0.00%	0.00%	0.00%	賣轉買	買轉賣			36.5	5.49%
櫃生技	6130	星寶國際	1.0	0.0	0.0	0	0	0.00%	0.00%	0.00%	連三週賣超	連三週買超		創新低	27.35	3.60%
櫃生技	5312	寶島科	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%				創新低	64.8	-1.67%
櫃生技	4198	環瑞醫	0.0	0.0	40.0	0	0	0.06%	0.00%	0.00%				創新低	4.17	13.01%
櫃生技	4188	安克	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%					21.0	-8.10%
光電	6289	華上	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%				創新高	1.78	-4.30%
櫃生技	4167	展旺	0.0	0.0	-4612.0	-14133	0	-1.59%	-4.86%	0.00%					36.1	23.42%
櫃生技	4160	創源	0.0	0.0	437.0	0	0	1.80%	0.00%	0.00%					29.45	-3.44%
櫃生技	4131	晶宇	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%				創新高	4.35	-7.45%
通信網路	2321	東訊	0.0	0.0	-109.0	0	0	-0.07%	0.00%	0.00%				創新高	1.44	-0.69%
櫃生技	3205	佰研	0.0	0.0	-16.0	0	0	-0.05%	0.00%	0.00%					40.0	-4.53%
櫃光電	6556	勝品	-1.0	0.0	1.0	0	0	0.00%	0.00%	0.00%	連三週買超			創新高	45.3	-4.23%
櫃通信	3499	環天科	0.0	0.0	-1.0	0	0	-0.00%	0.00%	0.00%					11.7	-1.68%
櫃通信	3095	及成	0.0	0.0	17.0	0	0	0.02%	0.00%	0.00%				創新高	1.99	0.00%
櫃文創	3086	華義	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%					17.5	2.94%
櫃油電	8931	大汽電	1.0	0.0	-19.0	0	0	-0.02%	0.00%	0.00%	買轉賣	連三週賣超			29.4	-1.67%
櫃貿易	8941	關中	-1.0	0.0	352.0	0	0	1.27%	0.00%	0.00%	賣轉買	買轉賣			39.75	0.00%
櫃貿易	2924	東凌-KY	0.0	0.0	6.0	0	0	0.02%	0.00%	0.00%					19.3	0.00%
櫃觀光	2740	天蔥	1.0	0.0	0.0	0	0	0.00%	0.00%	0.00%					19.85	-27.82%
櫃觀光	2734	易飛網	0.0	0.0	-8.0	0	0	-0.03%	0.00%	0.00%				創新低	14.15	-8.12%
櫃觀光	2719	燦星旅	0.0	0.0	-132.0	0	0	-0.72%	0.00%	0.00%				創新高	20.85	4.25%
櫃航運	5601	台聯櫃	0.0	0.0	1.0	0	0	0.00%	0.00%	0.00%					24.5	0.00%
櫃營建	6212	理銘	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%				創新低	47.0	0.00%
櫃營建	5543	崇佑-KY	0.0	0.0	0.0	-1320	0	0.00%	-3.70%	0.00%					20.6	1.48%
櫃營建	5455	昇益	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%				創新高	17.05	-6.32%
櫃他電	8431	匯鑽科	-180.0	0.0	-131.0	-4	0	-0.29%	-0.01%	0.00%	連二週賣超	買轉賣			53.0	-8.93%
紡織	1475	本盟	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%				創新高	15.1	7.86%
櫃他電	8047	星雲	0.0	0.0	-2.0	0	0	-0.00%	0.00%	0.00%					9.96	-0.10%
櫃他電	5489	彩富	0.0	0.0	7.0	0	0	0.01%	0.00%	0.00%				創新高	32.2	-1.23%
櫃他電	5452	佶優	0.0	0.0	-179.0	0	0	-0.12%	0.00%	0.00%					6.39	-2.59%
櫃文創	2926	誠品生活	-1.0	0.0	0.0	0	0	0.00%	0.00%	0.00%	連二週買超	連二週賣超			93.8	4.69%
櫃文創	3629	地心引力	0.0	0.0	-37.0	0	0	-0.11%	0.00%	0.00%				創新高	60.1	12.55%
櫃通信	3306	鼎天	0.0	0.0	-10.0	0	0	-0.02%	0.00%	0.00%					17.75	-1.39%
櫃文創	4806	昇華	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%				創新低	8.29	3.62%
櫃其他	8937	合騏	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%					14.3	-2.05%
櫃其他	8934	衡平	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%				創新低	33.2	0.00%
食品	1213	大飲	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%				創新高	6.0	4.90%
櫃其他	8906	花王	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%				創新高	14.5	-2.36%
櫃其他	8455	大拓-KY	-1.0	0.0	5.0	0	0	0.02%	0.00%	0.00%	連二週買超	連二週賣超			21.7	4.58%
櫃其他	8435	鉅邁	-1.0	0.0	0.0	0	0	0.00%	0.00%	0.00%	賣轉買	連三週賣超			50.7	-0.78%
櫃其他	8420	明揚	-1.0	0.0	0.0	0	0	0.00%	0.00%	0.00%	賣轉買	買轉賣			22.5	-3.02%
櫃其他	6629	泰金-KY	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%				創新低	51.5	0.19%
櫃其他	6236	康呈	0.0	0.0	-1.0	0	0	-0.00%	0.00%	0.00%				創新高	7.21	3.00%
櫃其他	6199	天品	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%				創新低	11.9	0.00%
櫃其他	4556	旭然	-1.0	0.0	0.0	0	0	0.00%	0.00%	0.00%	賣轉買	買轉賣		創新高	34.2	-0.58%
櫃電商	3085	新零售	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%				創新高	2.12	-3.64%
櫃文創	8923	時報	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%					15.2	0.33%
櫃文創	6482	弘煜科	-1.0	0.0	0.0	0	0	0.00%	0.00%	0.00%					31.7	3.93%
櫃文創	6144	得利影	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%				創新高	6.15	-3.61%
櫃他電	3628	盈正	-1.0	0.0	0.0	0	0	0.00%	0.00%	0.00%	賣轉買	買轉賣			33.75	1.35%
櫃他電	3285	微端	0.0	0.0	56.0	0	0	0.13%	0.00%	0.00%					14.45	-0.34%
櫃他電	3131	弘塑	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%		買轉賣	賣轉買		224.5	-1.97%
櫃他電	3093	港建	-1.0	0.0	-128.0	0	0	-0.35%	0.00%	0.00%	連二週買超	連二週賣超			29.35	-3.14%
櫃電零	4542	科嶠	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%					24.45	1.45%
櫃電零	3609	東林	0.0	0.0	781.0	1190	0	2.55%	3.88%	0.00%					22.75	-7.89%
櫃電零	3520	振維	1.0	0.0	100.0	0	0	0.20%	0.00%	0.00%					12.85	-1.91%
櫃電零	3332	幸康	1.0	0.0	0.0	0	0	0.00%	0.00%	0.00%				創新低	29.9	3.10%
櫃電零	3288	點晶	0.0	0.0	27.0	0	0	0.12%	0.00%	0.00%					9.0	3.33%
櫃電零	1595	川寶	1.0	0.0	0.0	0	0	0.00%	0.00%	0.00%	連二週賣超	買轉賣			36.05	2.41%
櫃通信	8097	常珵	0.0	0.0	-52.0	0	0	-0.19%	0.00%	0.00%					11.9	-8.81%
櫃通信	6530	創威	1.0	0.0	0.0	0	0	0.00%	0.00%	0.00%	連二週賣超	連二週買超			17.7	-0.28%
櫃通信	6218	豪勉	1.0	0.0	-280.0	0	0	-0.44%	0.00%	0.00%	買轉賣	賣轉買			20.0	0.76%
櫃通信	6190	萬泰科	0.0	0.0	2577.0	5811	0	1.84%	4.14%	0.00%					15.65	-4.86%
櫃通信	5348	系通	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%				創新低	6.44	-1.23%
櫃通信	4905	台聯電	-8.0	0.0	-5.0	0	0	-0.01%	0.00%	0.00%	賣轉買	買轉賣			48.35	-0.10%
櫃通信	3684	榮昌	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%				創新高	35.1	-5.14%
櫃通信	3564	其陽	-1.0	0.0	0.0	0	0	0.00%	0.00%	0.00%	賣轉買				27.05	-4.42%
其他	9928	中視	0.0	0.0	437.0	0	0	0.29%	0.00%	0.00%				創新低	3.34	-7.99%
櫃電零	5321	友銓	1.0	0.0	0.0	0	0	0.00%	0.00%	0.00%	連三週賣超	賣轉買		創新低	36.3	57.48%
櫃電零	5345	天揚	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%				創新高	7.97	39.34%
櫃電零	5381	合正	0.0	0.0	78.0	0	0	0.04%	0.00%	0.00%				創新高	3.67	7.62%
櫃通路	6118	建達	0.0	0.0	-9.0	0	0	-0.01%	0.00%	0.00%					9.0	-6.05%
電機	1583	程泰	1.0	0.0	0.0	0	0	0.00%	0.00%	0.00%	連二週賣超	連二週買超			60.1	-2.12%
櫃資服	6404	通訊-KY	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%				創新高	3.35	3.40%
櫃資服	6148	驊宏資	0.0	0.0	10.0	0	0	0.02%	0.00%	0.00%				創新高	9.94	-0.60%
櫃通路	8068	全達	-1.0	0.0	0.0	0	0	0.00%	0.00%	0.00%	賣轉買	買轉賣			24.9	-8.79%
櫃通路	8067	志旭	-1.0	0.0	2.0	0	0	0.01%	0.00%	0.00%					9.01	-0.99%
櫃通路	8032	光菱	0.0	0.0	1.0	0	0	0.00%	0.00%	0.00%				創新高	22.9	-0.43%
櫃電零	8291	尚茂	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%					3.33	1.83%
櫃電零	5460	同協	0.0	0.0	-394.0	0	0	-0.64%	0.00%	0.00%				創新高	10.9	-1.80%
櫃電零	8080	永利聯合	0.0	0.0	-39.0	0	0	-0.04%	0.00%	0.00%				創新低	2.9	-3.33%
櫃電零	8071	能率網通	-7.0	0.0	-6.0	-5	0	-0.01%	-0.01%	0.00%	連三週買超	連三週賣超			12.3	-0.81%
櫃電零	6418	詠昇	0.0	0.0	-10.0	0	0	-0.03%	0.00%	0.00%					14.45	1.05%
櫃電零	6259	百徽	0.0	0.0	-410.0	0	0	-0.37%	0.00%	0.00%				創新高	2.03	2.01%
櫃電零	6174	安碁	0.0	0.0	15.0	0	0	0.03%	0.00%	0.00%					11.1	-6.72%
化學	4763	材料-KY	56.0	0.0	39.0	35	0	0.08%	0.07%	0.00%	連三週買超	連三週買超		創新高	119.0	-6.30%
櫃食品	1796	金穎生技	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%					24.9	-3.86%
半導體	3536	誠創	0.0	0.0	3.0	0	0	0.00%	0.00%	0.00%				創新高	2.94	-8.41%
其他	8497	格威傳媒	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%					68.5	0.15%
資訊服務	3130	一零四	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%					159.5	-1.54%
航運	2637	慧洋-KY	0.0	0.0	-21351.0	-31791	0	-2.93%	-4.36%	0.00%					23.5	-3.29%
其他	8481	政伸	5.0	0.0	3.0	0	0	0.00%	0.00%	0.00%	連二週賣超	連三週買超			61.2	-0.49%
其他	6625	必應	1.0	0.0	0.0	0	0	0.00%	0.00%	0.00%	買轉賣	賣轉買			39.8	-4.10%
其它電子	8201	無敵	1.0	0.0	-26.0	0	0	-0.04%	0.00%	0.00%	連三週賣超	連三週買超			8.52	-1.16%
電子通路	3036	文曄	0.0	0.0	389.0	-702	0	0.05%	-0.09%	0.00%				創新高	38.85	-1.15%
貿易百貨	8443	阿瘦	1.0	0.0	43.0	0	0	0.06%	0.00%	0.00%	連二週賣超	連二週買超			9.37	-1.06%
營建	9906	欣巴巴	1.0	0.0	43.0	0	0	0.05%	0.00%	0.00%	買轉賣	連二週買超			20.8	-5.24%
貿易百貨	2910	統領	2.0	0.0	-1.0	0	-1	-0.00%	0.00%	-0.00%	連二週賣超	連二週買超			32.6	-0.76%
櫃通信	8059	凱碩	2.0	0.0	-24.0	0	-1	-0.01%	0.00%	-0.00%	買轉賣	賣轉買			12.8	-5.19%
汽車	2227	裕日車	46.0	0.0	26.0	0	-2	0.01%	0.00%	-0.00%	連三週賣超	買轉賣	連三週買超		268.5	-2.72%
其他	2443	億麗	2.0	0.0	286.0	0	-1	0.20%	0.00%	-0.00%	連二週賣超	連二週買超			2.98	-3.56%
櫃電機	3162	精確	2.0	0.0	0.0	0	-1	0.00%	0.00%	-0.00%				創新低	9.21	2.33%
光電	3576	聯合再生	1368.0	-10.0	477.0	1332	-26	0.02%	0.05%	-0.00%	買轉賣	連二週買超			6.17	-1.28%
櫃通信	4909	新復興	14.0	0.0	-46.0	9	-1	-0.05%	0.01%	-0.00%	買轉賣	賣轉買			14.8	-6.03%
櫃電零	6124	業強	3.0	0.0	-31.0	0	-2	-0.02%	0.00%	-0.00%	連二週賣超	連三週賣超			30.55	-2.71%
電機	1503	士電	76.0	0.0	18.0	52	-6	0.00%	0.01%	-0.00%	買轉賣	連三週買超			44.95	-2.60%
塑膠	1324	地球	2.0	0.0	0.0	0	-1	0.00%	0.00%	-0.00%	連二週賣超	連二週買超			9.85	-0.81%
櫃生技	4152	台微體	2.0	0.0	0.0	0	-1	0.00%	0.00%	-0.00%	買轉賣	賣轉買			70.8	-1.12%
航運	2615	萬海	954.0	0.0	1870.0	887	-30	0.08%	0.04%	-0.00%	連二週賣超	連二週買超	連二週賣超		16.4	-1.80%
櫃塑膠	4303	信立	2.0	0.0	50.0	0	-1	0.07%	0.00%	-0.00%	買轉賣	連二週買超			20.15	2.81%
電子零組件	5469	瀚宇博	1095.0	0.0	1127.0	845	-8	0.21%	0.16%	-0.00%	買轉賣	賣轉買	賣轉買		37.75	-3.33%
電機	1539	巨庭	2.0	0.0	0.0	0	-1	0.00%	0.00%	-0.00%	買轉賣	賣轉買			17.75	0.28%
電腦週邊	2397	友通	8.0	0.0	3.0	0	-2	0.00%	0.00%	-0.00%	買轉賣	賣轉買			75.4	-2.20%
櫃其他	8421	旭源	2.0	0.0	-15.0	0	-1	-0.03%	0.00%	-0.00%	買轉賣	賣轉買			9.82	-2.29%
其它電子	2461	光群雷	5.0	0.0	511.0	0	-3	0.32%	0.00%	-0.00%	連二週賣超				14.4	-7.40%
櫃通信	3664	安瑞-KY	2.0	0.0	5.0	0	-1	0.01%	0.00%	-0.00%					11.25	-11.07%
塑膠	1341	富林-KY	2.0	0.0	0.0	0	-1	0.00%	0.00%	-0.00%	連二週賣超	連二週買超		創新低	60.8	-0.98%
光電	2438	翔耀	3.0	0.0	8.0	0	-2	0.01%	0.00%	-0.00%	連三週賣超	連三週買超		創新低	6.24	10.44%
櫃貿易	5902	德記	3.0	0.0	0.0	0	-2	0.00%	0.00%	-0.00%	買轉賣				11.55	-4.55%
半導體	3588	通嘉	2.0	0.0	-370.0	0	-1	-0.79%	0.00%	-0.00%	買轉賣	賣轉買			32.9	-8.74%
半導體	2329	華泰	1062.0	0.0	992.0	835	-12	0.18%	0.15%	-0.00%	連三週賣超	連二週買超	連三週買超		11.4	-7.32%
櫃電機	4530	宏易	2.0	0.0	0.0	0	-1	0.00%	0.00%	-0.00%	連二週賣超	連二週買超			10.75	-2.27%
櫃生技	4116	明基醫	2.0	0.0	0.0	0	-1	0.00%	0.00%	-0.00%	連二週賣超				31.9	-4.20%
櫃營建	5508	永信建	7.0	0.0	61.0	0	-5	0.03%	0.00%	-0.00%					32.85	-1.05%
通信網路	6216	居易	3.0	0.0	0.0	0	-2	0.00%	0.00%	-0.00%	連二週賣超				27.55	-0.90%
櫃光電	3128	昇銳	2.0	0.0	305.0	0	-1	0.73%	0.00%	-0.00%	連二週賣超	連二週買超			12.35	-5.36%
櫃鋼鐵	5011	久陽	2.0	0.0	-10.0	0	-1	-0.02%	0.00%	-0.00%	連二週賣超				15.6	7.22%
汽車	1521	大億	4.0	0.0	0.0	0	-2	0.00%	0.00%	-0.00%	買轉賣	賣轉買			61.2	0.33%
櫃電機	3379	彬台	2.0	0.0	68.0	0	-1	0.18%	0.00%	-0.00%					8.8	0.80%
其他	8427	基勝-KY	5.0	0.0	0.0	0	-3	0.00%	0.00%	-0.00%	連三週賣超	連三週買超			47.4	2.93%
汽車	4581	光隆精密-KY	-7.0	0.0	-5.0	-6	-1	-0.01%	-0.02%	-0.00%	連三週賣超	買轉賣		創新低	41.6	-5.45%
營建	2527	宏璟	-59.0	0.0	-677.0	-54	-8	-0.25%	-0.02%	-0.00%	連三週賣超	買轉賣		創新低	20.6	0.73%
櫃他電	6654	天正國際	2.0	0.0	0.0	0	-1	0.00%	0.00%	-0.00%					55.3	0.73%
櫃通信	6465	威潤	2.0	0.0	0.0	0	-1	0.00%	0.00%	-0.00%					37.75	-0.92%
光電	6405	悅城	4.0	0.0	76.0	0	-2	0.12%	0.00%	-0.00%	連三週賣超	連二週買超			14.0	-6.67%
櫃電腦	6228	全譜	2.0	0.0	0.0	0	-1	0.00%	0.00%	-0.00%				創新低	6.12	3.03%
化學	4755	三福化	5.0	0.0	0.0	0	-3	0.00%	0.00%	-0.00%	連三週賣超	連二週買超		創新低	48.1	-2.34%
櫃觀光	2745	五福	2.0	0.0	0.0	0	-1	0.00%	0.00%	-0.00%	買轉賣	賣轉買			20.15	-9.23%
櫃電腦	6570	維田	2.0	0.0	-1.0	0	-1	-0.00%	0.00%	-0.00%	買轉賣	賣轉買			38.5	1.85%
櫃電腦	3577	泓格	4.0	0.0	-5.0	0	-2	-0.01%	0.00%	-0.00%					29.4	-0.34%
鋼鐵	2007	燁興	27.0	0.0	-4.0	0	-21	-0.00%	0.00%	-0.00%	連二週賣超	連三週買超			4.0	-0.50%
營建	2540	愛山林	9.0	0.0	-5.0	0	-6	-0.00%	0.00%	-0.00%	連二週賣超	賣轉買			32.55	-1.81%
櫃其他	8932	宏大	3.0	0.0	2.0	0	-2	0.00%	0.00%	-0.00%					11.4	-5.00%
生技醫療	1795	美時	51.0	0.0	27.0	-291	-10	0.01%	-0.12%	-0.00%	連三週賣超	買轉賣		創新低	78.4	-4.85%
電器電纜	1617	榮星	8.0	0.0	9.0	0	-6	0.01%	0.00%	-0.00%	買轉賣	賣轉買			11.05	-3.49%
櫃生技	6496	科懋	3.0	0.0	1.0	0	-2	0.00%	0.00%	-0.00%	買轉賣	賣轉買			30.0	-0.99%
櫃資服	6240	松崗	2.0	0.0	0.0	0	-1	0.00%	0.00%	-0.00%	買轉賣				13.5	-3.57%
通信網路	6674	鋐寶科技	5.0	0.0	0.0	0	-3	0.00%	0.00%	-0.00%	連二週賣超	連二週買超			26.0	4.42%
電子通路	3528	安馳	13.0	0.0	2.0	6	-3	0.00%	0.01%	-0.00%	連二週賣超	連二週買超			39.0	-1.64%
櫃觀光	2718	晶悅	3.0	0.0	407.0	0	-2	0.96%	0.00%	-0.00%					17.35	1.76%
櫃生技	6615	慧智	2.0	0.0	0.0	0	-1	0.00%	0.00%	-0.00%				創新低	66.3	-3.77%
櫃其他	2221	大甲	3.0	0.0	0.0	0	-2	0.00%	0.00%	-0.00%					26.25	3.96%
櫃化工	6506	雙邦	-5.0	0.0	-11.0	-8	-4	-0.01%	-0.01%	-0.00%	連三週賣超	買轉賣			17.75	-2.47%
化學	1726	永記	8.0	0.0	-3.0	0	-8	-0.00%	0.00%	-0.00%	連二週賣超	連二週買超			68.9	-1.43%
化學	1725	元禎	12.0	0.0	0.0	0	-9	0.00%	0.00%	-0.00%	連二週賣超	連二週買超			14.0	-4.11%
櫃其他	5276	達輝-KY	4.0	0.0	0.0	0	-2	0.00%	0.00%	-0.01%				創新低	8.26	1.35%
櫃電零	3646	艾恩特	3.0	0.0	-12.0	0	-2	-0.03%	0.00%	-0.01%	連三週賣超	賣轉買			16.2	6.58%
半導體	6243	迅杰	6.0	0.0	0.0	0	-4	0.00%	0.00%	-0.01%	連二週賣超	連二週買超			8.6	-6.01%
櫃電商	8472	夠麻吉	0.0	0.0	8.0	-1	-1	0.04%	-0.01%	-0.01%	連三週賣超			創新低	30.95	2.82%
其他	8478	東哥遊艇	7.0	0.0	-19.0	0	-5	-0.02%	0.00%	-0.01%	連二週賣超	連二週買超			37.1	-3.76%
櫃通信	4903	聯光通	-16.0	0.0	-22.0	-18	-5	-0.02%	-0.02%	-0.01%	買轉賣	連二週賣超			11.15	-7.08%
櫃半導	6229	研通	3.0	0.0	35.0	0	-2	0.10%	0.00%	-0.01%	買轉賣	賣轉買			13.85	1.84%
營建	2546	根基	9.0	0.0	0.0	0	-6	0.00%	0.00%	-0.01%	連三週賣超	連三週買超			40.95	-0.73%
半導體	3054	立萬利	7.0	0.0	8.0	0	-5	0.01%	0.00%	-0.01%	連二週賣超	連二週買超			23.95	-1.24%
櫃電機	8083	瑞穎	4.0	0.0	0.0	0	-2	0.00%	0.00%	-0.01%	連三週賣超	連二週買超			169.0	0.00%
紡織	1441	大東	8.0	0.0	-163.0	0	-6	-0.16%	0.00%	-0.01%	連二週賣超	連二週買超			7.1	-1.93%
紡織	1453	大將	8.0	0.0	29.0	0	-6	0.03%	0.00%	-0.01%	買轉賣	賣轉買			7.48	0.67%
櫃貿易	2937	集雅社	3.0	0.0	-44.0	0	-2	-0.13%	0.00%	-0.01%	連三週賣超	連二週買超			33.9	4.31%
櫃化工	4741	泓瀚	3.0	0.0	0.0	0	-2	0.00%	0.00%	-0.01%	連二週賣超	連二週買超			24.15	-5.11%
電機	1530	亞崴	9.0	0.0	-5.0	0	-6	-0.01%	0.00%	-0.01%	連二週賣超	連二週買超			30.0	-5.66%
櫃電零	3465	進泰電子	4.0	0.0	3.0	0	-2	0.01%	0.00%	-0.01%	連二週賣超	連二週買超		創新低	53.4	-20.18%
櫃生技	4175	杏一	4.0	0.0	0.0	0	-2	0.00%	0.00%	-0.01%	連二週賣超	連二週買超			74.4	-2.75%
櫃半導	8277	商丞	9.0	0.0	0.0	0	-6	0.00%	0.00%	-0.01%					6.0	-4.76%
櫃電零	8121	越峰	17.0	0.0	411.0	0	-12	0.22%	0.00%	-0.01%	連二週賣超	連二週買超			10.3	-7.21%
其它電子	2477	美隆電	44.0	0.0	60.0	19	-13	0.03%	0.01%	-0.01%	連二週賣超	賣轉買			21.3	-4.91%
其他	6655	科定	8.0	0.0	123.0	0	-5	0.16%	0.00%	-0.01%	買轉賣	賣轉買			42.0	1.45%
食品	1233	天仁	9.0	0.0	0.0	0	-6	0.00%	0.00%	-0.01%	連二週賣超	連二週買超			36.0	-1.23%
油電燃氣	9926	新海	17.0	0.0	0.0	0	-12	0.00%	0.00%	-0.01%	連二週賣超	連三週買超			42.45	-0.47%
櫃他電	5493	三聯	-1.0	0.0	-335.0	-4	-3	-0.76%	-0.01%	-0.01%	連二週賣超	連二週買超			39.9	-2.56%
鋼鐵	2069	運錩	37.0	0.0	24.0	15	-11	0.02%	0.01%	-0.01%	連二週賣超	連二週買超			15.25	-1.29%
塑膠	1340	勝悅-KY	-4.0	0.0	21.0	-15	-11	0.01%	-0.01%	-0.01%	連二週賣超	買轉賣			9.88	-5.90%
半導體	2302	麗正	17.0	0.0	79.0	0	-12	0.05%	0.00%	-0.01%	連二週賣超	連二週買超			7.38	-0.81%
電機	1535	中宇	29.0	0.0	19.0	12	-9	0.02%	0.01%	-0.01%	買轉賣	連二週買超			32.35	-1.82%
水泥	1110	東泥	-20.0	0.0	9.0	-57	-42	0.00%	-0.01%	-0.01%	連二週賣超	連三週賣超		創新低	16.4	0.00%
紡織	1413	宏洲	14.0	0.0	4.0	0	-10	0.00%	0.00%	-0.01%	連二週賣超	賣轉買			7.08	-1.80%
櫃他電	8085	福華	-45.0	0.0	686.0	-47	-12	0.44%	-0.03%	-0.01%	買轉賣	買轉賣			4.11	-8.87%
電機	4576	大銀微系統	-28.0	0.0	-29.0	-11	-9	-0.02%	-0.01%	-0.01%	買轉賣	賣轉買			79.9	-8.48%
電器電纜	1603	華電	47.0	0.0	-40.0	19	-15	-0.02%	0.01%	-0.01%	買轉賣	連二週買超			27.1	1.12%
營建	2509	全坤建	50.0	0.0	34.0	20	-16	0.02%	0.01%	-0.01%	買轉賣	賣轉買			20.75	-3.04%
櫃他電	6512	啟發電	3.0	0.0	-49.0	0	-2	-0.20%	0.00%	-0.01%	買轉賣	賣轉買			13.55	-1.09%
櫃電機	1599	宏佳騰	-11.0	0.0	-9.0	-14	-6	-0.01%	-0.02%	-0.01%	買轉賣	買轉賣			30.3	-3.19%
電機	4571	鈞興-KY	6.0	0.0	0.0	0	-4	0.00%	0.00%	-0.01%	買轉賣	賣轉買			60.4	3.07%
櫃電零	3492	長盛	5.0	0.0	10.0	0	-3	0.03%	0.00%	-0.01%					16.0	-5.33%
櫃觀光	2729	瓦城	4.0	0.0	0.0	0	-2	0.00%	0.00%	-0.01%	買轉賣	賣轉買			248.0	-5.88%
電腦週邊	2362	藍天	325.0	0.0	181.0	200	-58	0.03%	0.03%	-0.01%	連二週賣超	連二週買超			29.6	-4.36%
櫃貿易	6195	詩肯	6.0	0.0	0.0	0	-4	0.00%	0.00%	-0.01%	買轉賣	賣轉買			33.9	-3.00%
櫃電機	1586	和勤	32.0	0.0	307.0	16	-7	0.38%	0.02%	-0.01%	連三週賣超	連三週買超			38.0	-1.04%
櫃他電	4554	橙的	3.0	0.0	12.0	0	-2	0.06%	0.00%	-0.01%	連三週賣超	連三週買超			20.35	-4.68%
電子零組件	6133	金橋	1.0	0.0	58.0	-11	-11	0.05%	-0.01%	-0.01%	連二週賣超				7.15	-1.11%
光電	6225	天瀚	0.0	0.0	66.0	-12	-12	0.05%	-0.01%	-0.01%	連二週賣超				3.12	12.23%
